CREATED_DATE	ORDER_ID	PERFORMER	CATEGORY	DURATION	QUALITY	DELIVERY_TIME	ORDER_STATE	UPLOAD_VIDEO	Performer_TOTAL	C4U_commission	Gross_Total	created_at	updated_at
Tue, 17/09/2013 - 11:21	1390	Danielle Anderson	Glamour / Implied Nude	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$77.40	$27.00	$104.00		
Tue, 17/09/2013 - 02:06	1387	Gemma Hiles	High Heels	5 minutes	High Definition		Completed	Uploaded	$205.59	$72.00	$278.00		
Mon, 16/09/2013 - 11:13	1364	Hannah Martin	Jerk Off Instruction	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$110.59	$39.00	$149.00		
Mon, 16/09/2013 - 23:32	1383	Michelle Moist	Jerk Off Instruction	5 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$40.00	$14.00	$54.00		
Mon, 16/09/2013 - 12:06	1366	Jeana B	Glamour / Implied Nude	10 minutes	High Definition	Premium (7 days)	Completed	Uploaded	$150.00	$53.00	$203.00		
Mon, 16/09/2013 - 11:13	1363	Danielle Anderson	Glamour / Implied Nude	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$77.40	$27.00	$104.00		
Mon, 16/09/2013 - 06:38	1359	Michelle Moist	Goddess Worship	10 minutes	Standard Definition	Next Day (up to 24 hours)	Completed	Uploaded	$90.00	$32.00	$122.00		
Sun, 15/09/2013 - 21:24	1347	Princess Ellie	Financial Domination	5 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$50.00	$18.00	$68.00		
Sun, 15/09/2013 - 19:23	1345	Hollie Sparrow	Glamour / Implied Nude	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$77.40	$27.00	$104.00		
Sun, 15/09/2013 - 18:43	1343	Alexis Amore	Masturbation	10 minutes	Standard Definition	Express (up to 3 days)	Completed	Not Uploaded	$300.00	$105.00	$405.00		
Sun, 15/09/2013 - 12:41	1337	Frankie Babe	Jerk Off Instruction	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$60.00	$21.00	$81.00		
Sun, 15/09/2013 - 12:01	1336	Natalia Forrest	Glamour / Implied Nude	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$85.00	$30.00	$115.00		
Sun, 15/09/2013 - 12:01	1336	Sophia Smith	Glamour / Implied Nude	5 minutes	Standard Definition	Premium (up to 7 days)	Completed	Uploaded	$95.00	$33.00	$128.00		
Sun, 15/09/2013 - 06:46	1330	Brook Logan	Jerk Off Instruction	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$65.00	$23.00	$88.00		
Sat, 14/09/2013 - 23:23	1316	Becky Dee	Ass Worship	10 minutes	Standard Definition	Express (up to 3 days)	Completed	Uploaded	$75.00	$26.00	$101.00		
Sat, 14/09/2013 - 22:05	1305	Akara Fang					Completed	Uploaded	$10.00	$4.00	$14.00		
Sat, 14/09/2013 - 04:28	1272	Randy Moore	Femdom POV	10 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$135.00	$47.00	$182.00		
Sat, 14/09/2013 - 16:06	1293	Jeana B	Goddess Worship	5 minutes	High Definition	Standard (14 days)	Completed	Not Uploaded	$70.00	$25.00	$95.00		
Sat, 14/09/2013 - 08:11	1273	Mistress B	Scent	5 minutes	Standard Definition	Next Day (up to 24 hours)	Completed	Uploaded	$75.00	$26.00	$101.00		
Fri, 13/09/2013 - 16:15	1251	Ruby Summers	Jerk Off Instruction	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$60.00	$21.00	$81.00		
Fri, 13/09/2013 - 14:38	1249	Courtney Cummz	Financial Domination	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Not Uploaded	$18.51	$6.00	$25.00		
Fri, 13/09/2013 - 06:42	1244	Monique Stranger	Rip Off	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$85.00	$30.00	$115.00		
Fri, 13/09/2013 - 06:07	1242	Goddess Bossy	Ass Worship	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Uploaded	$10.00	$4.00	$14.00		
Fri, 13/09/2013 - 00:36	1239	Goddess Jessica	Goddess Worship	10 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$100.00	$35.00	$135.00		
Thu, 12/09/2013 - 23:21	1233	Hollie Sparrow	Foot Worship	15 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$185.87	$65.00	$251.00		
Wed, 11/09/2013 - 20:58	1179	Goddess Jessica	Financial Domination	10 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$100.00	$35.00	$135.00		
Wed, 11/09/2013 - 02:57	1160	Danielle Anderson	Jerk Off Instruction	5 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$127.40	$45.00	$172.00		
Wed, 11/09/2013 - 16:11	1169	Goddess Jessica	Chastity	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$50.00	$18.00	$68.00		
Wed, 11/09/2013 - 08:03	1163	Holly Mcguire	Jerk Off Instruction	10 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$90.00	$32.00	$122.00		
Wed, 11/09/2013 - 03:02	1161	Charley Atwell	High Heels	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$125.00	$44.00	$169.00		
Tue, 10/09/2013 - 23:32	1155	Princess Ellie	Jerk Off Instruction	10 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$100.00	$35.00	$135.00		
Tue, 10/09/2013 - 23:20	1153	Dannii Harwood	Rip Off	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$150.00	$53.00	$203.00		
Tue, 10/09/2013 - 10:50	1140	Becky Dee	Ass Worship	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$45.00	$16.00	$61.00		
Tue, 10/09/2013 - 10:47	1139	Becky Dee	Ass Worship	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$45.00	$16.00	$61.00		
Sun, 08/09/2013 - 20:19	1091	Mikaela Witt	Foot Worship	15 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$225.00	$79.00	$304.00		
Sun, 08/09/2013 - 19:14	1089	Goddess Jessica	Foot Slave Training	5 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$50.00	$18.00	$68.00		
Sun, 08/09/2013 - 13:57	1084	Brook Logan	Ass Worship	5 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$115.00	$40.00	$155.00		
Sun, 08/09/2013 - 02:24	1076	Jasmine Jones	Chastity	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Uploaded	$11.10	$4.00	$15.00		
Sat, 07/09/2013 - 19:20	1065	Priya Young	Foot Worship		Standard Definition	Standard (14 days)	Completed	Not Uploaded	$18.51	$6.00	$25.00		
Sat, 07/09/2013 - 07:30	1054	Jasmine Jones	Chastity	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Uploaded	$11.10	$4.00	$15.00		
Sat, 07/09/2013 - 02:55	1049	Gemma Jane	Foot Worship	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$110.59	$39.00	$149.00		
Fri, 06/09/2013 - 14:30	1023	Carla Brown	Foot Worship	15 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$150.00	$53.00	$203.00		
Fri, 06/09/2013 - 10:33	1020	Jasmine Jones	Chastity	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Uploaded	$11.10	$4.00	$15.00		
Thu, 05/09/2013 - 12:34	1016	Jasmine Jones	Chastity	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Uploaded	$11.10	$4.00	$15.00		
Wed, 04/09/2013 - 19:46	1012	Dannii Harwood	Tit Worship	5 minutes	Standard Definition		Completed	Uploaded	$110.00	$39.00	$149.00		
Wed, 04/09/2013 - 02:16	1003	Ruby Summers	Chastity	15 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$110.00	$39.00	$149.00		
Mon, 02/09/2013 - 18:13	987	Goddess Alexis	Jerk Off Instruction	5 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$100.00	$35.00	$135.00		
Mon, 02/09/2013 - 14:59	985	Princess Ellie	Tease & Denial	15 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$150.00	$53.00	$203.00		
Sun, 01/09/2013 - 08:21	981	Jasmine Jones	Chastity	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Uploaded	$11.10	$4.00	$15.00		
Fri, 16/08/2013 - 15:08	837	Goddess Jessica	Foot Worship	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$90.00	$32.00	$122.00		
Fri, 30/08/2013 - 05:14	953	Michelle Moist	Masturbation	15 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$155.00	$54.00	$209.00		
Sat, 31/08/2013 - 16:51	973	Hannah Martin	Foot Worship	10 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$215.87	$76.00	$291.00		
Sat, 31/08/2013 - 05:46	961	Princess Samantha	Jerk Off Instruction	15 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$130.00	$46.00	$176.00		
Fri, 30/08/2013 - 21:38	959	Randy Moore	Femdom POV	5 minutes	High Definition	Premium (7 days)	Completed	Uploaded	$95.00	$33.00	$128.00		
Fri, 30/08/2013 - 02:38	951	Goddess Jessica	Small Penis Humiliation	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Uploaded	$7.40	$3.00	$10.00		
Fri, 30/08/2013 - 02:38	951	Goddess Jessica	Small Penis Humiliation	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Uploaded	$7.40	$3.00	$10.00		
Thu, 29/08/2013 - 23:28	946	Randy Moore	Goddess Worship	10 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$135.00	$47.00	$182.00		
Thu, 29/08/2013 - 16:43	942	Princess Alli	Pantyhose / Stockings	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Not Uploaded	$5.00	$2.00	$7.00		
Wed, 28/08/2013 - 10:42	932	Charley Atwell	Jerk Off Instruction	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$125.00	$44.00	$169.00		
Wed, 28/08/2013 - 10:02	931	Charley Atwell	Pantyhose Fetish		Standard Definition	Standard (14 days)	Completed	Uploaded	$135.00	$47.00	$182.00		
Wed, 28/08/2013 - 09:58	930	Charley Atwell	Goddess Worship	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$100.00	$35.00	$135.00		
Wed, 28/08/2013 - 09:53	929	Charley Atwell	Femdom POV	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$75.00	$26.00	$101.00		
Wed, 28/08/2013 - 09:21	927	Princess Samantha	Financial Domination	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$95.00	$33.00	$128.00		
Wed, 28/08/2013 - 02:43	920	Princess Ellie	Jerk Off Instruction	5 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$50.00	$18.00	$68.00		
Tue, 27/08/2013 - 23:50	917	Priya Young	Jerk Off Instruction	15 minutes	Standard Definition	Next Day (up to 24 hours)	Completed	Uploaded	$300.00	$105.00	$405.00		
Mon, 26/08/2013 - 22:24	901	Princess Ellie	Financial Domination	10 minutes	High Definition	Premium (7 days)	Completed	Uploaded	$105.00	$37.00	$142.00		
Mon, 26/08/2013 - 21:46	900	Crystal Deep	Masturbation	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$135.00	$47.00	$182.00		
Sun, 25/08/2013 - 01:05	887	Princess Ellie	Jerk Off Instruction	15 minutes	Standard Definition	Express (up to 3 days)	Completed	Uploaded	$160.00	$56.00	$216.00		
Sat, 24/08/2013 - 13:26	882	Frankie Babe	Jerk Off Instruction	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$100.00	$35.00	$135.00		
Sat, 24/08/2013 - 09:35	881	Princess Jennifer	Foot Slave Training	5 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$150.00	$53.00	$203.00		
Thu, 22/08/2013 - 21:22	869	Princess Ellie	Jerk Off Instruction	10 minutes	High Definition	Premium (7 days)	Completed	Uploaded	$105.00	$37.00	$142.00		
Thu, 22/08/2013 - 02:56	867	Goddess Jessica	Small Penis Humiliation	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Uploaded	$7.40	$3.00	$10.00		
Wed, 21/08/2013 - 19:36	865	Goddess Jessica	Femdom POV	10 minutes	High Definition	Next Day (up to 24 hours)	Completed	Uploaded	$200.00	$70.00	$270.00		
Wed, 21/08/2013 - 02:28	862	Goddess Jessica	Small Penis Humiliation	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Uploaded	$7.40	$3.00	$10.00		
Mon, 19/08/2013 - 10:56	852	Charley Atwell	Smoking		Standard Definition	Standard (14 days)	Completed	Uploaded	$200.00	$70.00	$270.00		
Mon, 19/08/2013 - 09:11	851	Frankie Babe	Femdom POV	10 minutes	Standard Definition	Express (up to 3 days)	Completed	Uploaded	$125.00	$44.00	$169.00		
Mon, 19/08/2013 - 00:15	848	Goddess Jessica	Foot Worship	15 minutes	High Definition	Express (up to 3 days)	Completed	Uploaded	$200.00	$70.00	$270.00		
Sun, 18/08/2013 - 00:16	847	Carla Brown	Goddess Worship	10 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$125.00	$44.00	$169.00		
Fri, 16/08/2013 - 22:33	840	Goddess Jessica	Jerk Off Instruction	15 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$160.00	$56.00	$216.00		
Fri, 16/08/2013 - 06:53	833	Goddess Jessica	Pantyhose Fetish	15 minutes	High Definition	Express (up to 3 days)	Completed	Uploaded	$200.00	$70.00	$270.00		
Fri, 16/08/2013 - 03:08	831	Penny Barber	Femdom POV	10 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$75.00	$26.00	$101.00		
Wed, 14/08/2013 - 23:12	827	Goddess Alexis	Ignore	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$50.00	$18.00	$68.00		
Wed, 14/08/2013 - 22:00	826	Carla Brown	Ass Worship	15 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$150.00	$53.00	$203.00		
Wed, 14/08/2013 - 21:26	825	Sophia Smith	Pantyhose Fetish	15 minutes	High Definition	Express (up to 3 days)	Completed	Uploaded	$190.00	$67.00	$257.00		
Wed, 14/08/2013 - 09:49	820	Goddess Alexis	Femdom POV	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$100.00	$35.00	$135.00		
Wed, 14/08/2013 - 09:26	818	Goddess Jessica	Femdom POV	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$115.00	$40.00	$155.00		
Mon, 12/08/2013 - 15:53	807	Dannii Harwood	Femdom POV	15 minutes	Standard Definition		Completed	Uploaded	$235.00	$82.00	$317.00		
Sat, 10/08/2013 - 23:04	798	Randy Moore	Foot Worship	15 minutes	High Definition	Premium (7 days)	Completed	Uploaded	$170.00	$60.00	$230.00		
Sat, 10/08/2013 - 20:32	796	Ella Jolie	Leather / Latex / PVC	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$130.00	$46.00	$176.00		
Sat, 10/08/2013 - 11:09	794	Ruby Summers	Femdom POV	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$60.00	$21.00	$81.00		
Thu, 08/08/2013 - 22:38	787	Princess Ellie	Jerk Off Instruction	5 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$50.00	$18.00	$68.00		
Wed, 07/08/2013 - 07:03	766	Mandy Flores	Goddess Worship		High Definition	Premium (7 days)	Completed	Uploaded	$210.00	$74.00	$284.00		
Wed, 07/08/2013 - 00:03	764	Michelle Moist	Masturbation	15 minutes	Standard Definition	Next Day (up to 24 hours)	Completed	Uploaded	$150.00	$53.00	$203.00		
Tue, 06/08/2013 - 20:54	763	Randy Moore	Femdom POV	10 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$135.00	$47.00	$182.00		
Mon, 05/08/2013 - 19:20	757	Princess Samantha	Femdom POV	15 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$150.00	$53.00	$203.00		
Mon, 05/08/2013 - 07:31	741	Jasmine Jones	Foot Worship	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$125.00	$44.00	$169.00		
Sun, 04/08/2013 - 23:10	737	Randy Moore	Ass Worship	15 minutes	High Definition		Completed	Uploaded	$185.00	$65.00	$250.00		
Sun, 04/08/2013 - 19:07	732	Charley Atwell	Pantyhose Fetish		Standard Definition	Standard (14 days)	Completed	Uploaded	$200.00	$70.00	$270.00		
Sun, 04/08/2013 - 16:29	729	Preeti & Priya Young	Femdom POV	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$150.00	$53.00	$203.00		
Sun, 04/08/2013 - 02:47	725	Goddess Jessica	Jerk Off Instruction	15 minutes	High Definition	Standard (14 days)	Completed	Uploaded	$135.00	$47.00	$182.00		
Fri, 02/08/2013 - 10:24	708	Priya Young	Goddess Worship	10 minutes	Standard Definition		Completed	Uploaded	$150.00	$53.00	$203.00		
Thu, 01/08/2013 - 13:34	698	Allegra C	Foot Worship	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$100.00	$35.00	$135.00		
Thu, 01/08/2013 - 09:40	696	Priya Young	Jerk Off Instruction	5 minutes	Standard Definition		Completed	Uploaded	$75.00	$26.00	$101.00		
Thu, 01/08/2013 - 09:00	695	Goddess Jessica	Humiliation	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Uploaded	$7.40	$3.00	$10.00		
Thu, 01/08/2013 - 06:56	694	Goddess Jessica	Humiliation	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Uploaded	$7.40	$3.00	$10.00		
Wed, 31/07/2013 - 17:11	689	Priya Young	Small Penis Humiliation	5 minutes	Standard Definition		Completed	Uploaded	$75.00	$26.00	$101.00		
Wed, 31/07/2013 - 01:13	683	Michelle Moist	Humiliation	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$20.00	$7.00	$27.00		
Tue, 30/07/2013 - 23:41	682	Lucy Zara	Rip Off	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$150.00	$53.00	$203.00		
Tue, 30/07/2013 - 16:07	678	Lucy Zara	Giantess Fetish	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$150.00	$53.00	$203.00		
Mon, 29/07/2013 - 10:03	674	Goddess Celine	Forced Fem	15 minutes	High Definition	Urgent (up to 24 hours)	Completed	Uploaded	$140.00	$49.00	$189.00		
Sun, 28/07/2013 - 20:06	670	Princess Samantha	Femdom POV	10 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$125.00	$44.00	$169.00		
Sat, 27/07/2013 - 09:22	662	Princess Samantha	Femdom POV	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$200.00	$70.00	$270.00		
Thu, 25/07/2013 - 20:05	654	Alexis Amore	Ass Worship	5 minutes	Standard Definition	Standard (14 days)	Completed	Not Uploaded	$50.00	$18.00	$68.00		
Thu, 25/07/2013 - 17:40	653	Carla Brown	Jerk Off Instruction	10 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$125.00	$44.00	$169.00		
Thu, 25/07/2013 - 09:26	646	Jeana B	Femdom POV	15 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$290.00	$102.00	$392.00		
Wed, 24/07/2013 - 13:44	636	Sophia Smith	Glamour / Implied Nude	10 minutes	High Definition	Premium (up to 7 days)	Completed	Uploaded	$145.00	$51.00	$196.00		
Wed, 24/07/2013 - 09:16	634	Dannii Harwood	Humiliation		Standard Definition	Standard (14 days)	Completed	Uploaded	$75.00	$26.00	$101.00		
Tue, 23/07/2013 - 13:17	625	Jeana B	Femdom POV	15 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$150.00	$53.00	$203.00		
Mon, 22/07/2013 - 22:24	609	Goddess Jessica	Humiliation	10 minutes	Standard Definition	Express (up to 3 days)	Completed	Uploaded	$125.00	$44.00	$169.00		
Sun, 21/07/2013 - 11:14	581	Jeana B	Femdom POV	10 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$125.00	$44.00	$169.00		
Sun, 21/07/2013 - 07:18	575	Goddess Jessica	Goddess Worship	15 minutes	High Definition		Completed	Uploaded	$125.00	$44.00	$169.00		
Sat, 20/07/2013 - 18:52	569	Lucy Zara	Giantess Fetish	Instagram (15 Seconds)	Instagram	Next Day (Up to 24 Hours)	Completed	Uploaded	$18.52	$6.00	$25.00		
Mon, 15/07/2013 - 21:41	537	Jasmine Jones	Forced Fem	10 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$100.00	$35.00	$135.00		
Mon, 08/07/2013 - 23:31	511	Charley Atwell	Leather / Latex / PVC	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$75.00	$26.00	$101.00		
Wed, 03/07/2013 - 06:51	479	Princess Samantha	Femdom POV	10 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$125.00	$44.00	$169.00		
Wed, 03/07/2013 - 00:26	476	Carla Brown	Jerk Off Instruction	5 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$75.00	$26.00	$101.00		
Mon, 01/07/2013 - 23:20	460	Dannii Harwood	Rip Off		Standard Definition	Standard (14 days)	Completed	Uploaded	$125.00	$44.00	$169.00		
Mon, 01/07/2013 - 22:45	459	Jasmine Jones	Cuckolding	5 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$50.00	$18.00	$68.00		
Fri, 28/06/2013 - 19:21	445	Dannii Harwood	Small Penis Humiliation		High Definition	Standard (14 days)	Completed	Uploaded	$275.00	$96.00	$371.00		
Thu, 27/06/2013 - 17:03	428	Goddess Celine	Giantess Fetish	10 minutes	High Definition	Urgent (up to 24 hours)	Completed	Uploaded	$110.00	$39.00	$149.00		
Wed, 26/06/2013 - 21:16	424	Goddess Alexis	Financial Domination	5 minutes	Standard Definition	Standard (14 days)	Completed	Uploaded	$50.00	$18.00	$68.00		
Tue, 25/06/2013 - 15:44	417	Nina Leigh	Humiliation	5 minutes	Standard Definition		Completed	Uploaded	$75.00	$26.00	$101.00		
Mon, 24/06/2013 - 16:07	414	Jasmine Mendez	Giantess Fetish	10 minutes	Standard Definition		Completed	Uploaded	$100.00	$35.00	$135.00		
Sat, 22/06/2013 - 18:20	405	Lucy Zara					Completed	Uploaded	$280.00	$98.00	$378.00		
Thu, 20/06/2013 - 23:25	396	Nina Leigh	Humiliation	5 minutes	Standard Definition		Completed	Uploaded	$75.00	$26.00	$101.00		
Mon, 17/06/2013 - 22:42	373	Mandy Flores	Cuckolding		Standard Definition	Standard (14 days)	Completed	Uploaded	$125.00	$44.00	$169.00		
Mon, 17/06/2013 - 23:39	376	Nina Leigh	Ignore	5 minutes	Standard Definition		Completed	Uploaded	$75.00	$26.00	$101.00		
Mon, 17/06/2013 - 23:25	375	Nina Leigh	Rip Off	5 minutes	Standard Definition		Completed	Uploaded	$75.00	$26.00	$101.00		
Sun, 16/06/2013 - 22:36	366	Mandy Flores	Giantess Fetish		High Definition	Premium (7 days)	Completed	Uploaded	$80.00	$28.00	$108.00		
Wed, 12/06/2013 - 09:35	329	Carla Brown	Femdom POV	15 minutes	Standard Definition	Premium (7 days)	Completed	Uploaded	$150.00	$53.00	$203.00		
Mon, 10/06/2013 - 18:29	306	Goddess Alexis	Rip Off	5 minutes	Standard Definition	Express (up to 3 days)	Completed	Uploaded	$100.00	$35.00	$135.00		
Sat, 08/06/2013 - 22:32	281	Dannii Harwood	Goddess Worship		Standard Definition	Standard (14 days)	Completed	Uploaded	$125.00	$44.00	$169.00		
Sat, 08/06/2013 - 22:08	278	Dannii Harwood	Financial Domination		Standard Definition		Completed	Uploaded	$125.00	$44.00	$169.00		
Fri, 07/06/2013 - 23:22	265	Goddess Alexis		15 minutes	Standard Definition		Completed	Uploaded	$125.00	$44.00	$169.00		
Fri, 07/06/2013 - 23:16	264	Goddess Alexis	Goddess Worship	5 minutes	Standard Definition	Express (up to 3 days)	Completed	Uploaded	$100.00	$35.00	$135.00		
Fri, 07/06/2013 - 22:44	262	Goddess Alexis	Rip Off	5 minutes	Standard Definition	Express (up to 3 days)	Completed	Uploaded	$100.00	$35.00	$135.00		
